Date,上海-嘉定区,上海-奉贤区,上海-崇明区,上海-徐汇区,上海-普陀区,上海-杨浦区,上海-松江区,上海-浦东新区,上海-虹口区,上海-金山区,上海-长宁区,上海-闵行区,上海-青浦区,上海-静安区,上海-黄浦区
44609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44612,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
44613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44616,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
44617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44618,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
44619,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44620,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
44621,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44622,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0
44623,0,0,0,0,9,0,3,0,0,0,0,0,0,0,0
44624,5,0,0,0,1,0,6,0,0,0,0,0,2,0,1
44625,4,1,0,3,1,0,7,2,0,0,0,6,1,0,1
44626,12,2,0,2,5,0,7,2,0,0,0,7,0,1,1
44627,13,0,0,16,0,1,3,2,0,1,0,10,0,0,0
44628,7,0,0,9,2,0,14,3,0,0,1,11,3,1,0
44629,16,1,0,6,1,2,9,9,1,0,1,23,0,3,2
44630,3,0,0,6,4,0,9,6,4,0,1,13,4,2,1
44631,11,1,0,10,0,0,5,9,3,4,1,19,2,3,3
44632,3,0,0,1,1,0,1,35,0,4,2,10,0,1,3
44633,14,1,0,14,6,3,7,34,3,6,1,21,2,4,9
44634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44636,36,2,0,5,4,2,4,43,10,0,4,17,1,3,8
44637,30,2,3,27,6,2,10,11,6,1,1,79,1,3,12
44638,44,7,0,40,22,8,12,63,19,15,7,59,16,13,15
44639,79,6,22,60,25,14,16,127,6,3,12,49,5,15,37
44640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44641,97,21,38,129,31,10,37,164,23,15,26,110,5,45,48
44642,109,8,19,84,21,3,31,237,13,3,20,306,20,28,59
44643,68,12,54,108,34,11,34,217,26,5,11,252,10,48,20
44644,129,24,82,165,36,20,92,183,29,12,59,489,13,63,102
