Date,Jiading,Fengxian,Chongming,Xuhui,Putuo,Yangpu,Songjiang,Pudong,Hongkou,Jinshan,Changning,Minhang,Qingpu,Jingan,Huangpu
2022/2/17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/2/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/2/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/2/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/2/21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/2/22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/2/23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/2/24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/2/25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/2/26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/2/27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/2/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/3/1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2022/3/2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
2022/3/3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2022/3/4,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2022/3/5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/3/6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
2022/3/7,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
2022/3/8,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
2022/3/9,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0
2022/3/10,1,0,0,2,0,0,0,4,2,0,0,2,0,0,0
2022/3/11,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0
2022/3/12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2022/3/13,6,1,0,4,1,0,0,3,1,1,0,7,2,10,4
2022/3/14,0,0,0,3,0,0,1,1,1,0,0,1,0,0,2
2022/3/15,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0
2022/3/16,4,0,0,2,0,0,0,0,0,0,0,1,0,0,1
2022/3/17,4,1,0,8,5,1,0,24,0,0,0,0,0,2,11
2022/3/18,0,0,0,1,0,0,1,2,0,2,0,1,0,0,0
2022/3/19,2,0,1,0,0,0,0,8,1,0,0,4,0,0,0
2022/3/20,1,0,0,1,0,0,0,1,0,0,1,18,0,0,2
2022/3/21,5,1,2,4,1,0,1,6,0,1,0,10,0,0,0
2022/3/22,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2022/3/23,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0
2022/3/24,1,0,0,2,2,1,0,12,0,0,0,0,0,8,0
2022/3/25,0,0,0,1,1,0,1,31,0,0,0,4,0,0,0
2022/3/26,9,0,0,5,1,2,0,1,1,0,2,15,0,3,0
2022/3/27,3,0,0,6,4,0,1,4,1,0,0,20,0,5,1
2022/3/28,2,0,0,6,3,0,4,39,4,1,7,9,2,10,1
2022/3/29,9,1,1,34,6,3,15,169,7,2,3,29,0,8,6
2022/3/30,9,7,0,15,6,3,8,249,1,0,8,19,5,8,16
2022/3/31,7,5,1,20,6,5,5,180,8,4,43,59,1,4,7
2022/4/1,9,2,1,37,13,11,19,79,3,3,0,57,0,11,5
2022/4/2,27,8,3,44,38,19,8,107,31,0,6,57,3,25,27
2022/4/3,14,4,1,34,21,30,6,140,11,4,14,68,3,29,14
2022/4/4,4,2,0,8,4,10,6,205,5,1,1,11,1,1,8
2022/4/5,11,2,2,23,7,11,14,162,8,1,6,23,6,12,16
2022/4/6,6,0,0,19,27,12,2,151,1,3,31,21,4,27,9
2022/4/7,23,31,2,43,11,29,107,307,26,72,29,95,4,22,14
2022/4/8,116,12,3,114,21,12,108,348,18,45,20,62,24,42,41
2022/4/9,21,13,4,44,24,32,10,517,12,44,26,88,9,25,101
2022/4/10,71,11,0,28,7,61,291,212,6,15,23,102,1,29,36
2022/4/11,43,4,6,48,37,30,21,493,25,3,25,68,7,20,117
2022/4/12,42,1,29,56,50,60,77,192,83,3,90,280,61,75,74
2022/4/13,54,2,7,143,45,54,131,1139,121,12,105,372,99,49,227
2022/4/14,200,20,29,293,45,48,178,1252,174,23,148,274,128,70,268
2022/4/15,173,23,51,277,66,275,198,1142,287,21,233,301,131,92,246
2022/4/16,103,23,13,170,145,84,87,1002,157,9,127,890,46,143,188
2022/4/17,356,1,9,167,330,26,153,521,266,5,62,106,17,127,186
2022/4/18,72,2,5,68,21,64,191,1075,233,3,193,312,77,203,362
2022/4/19,104,2,25,144,100,64,58,720,148,1,53,389,72,205,368
2022/4/20,82,6,8,191,49,202,165,756,102,16,123,291,120,164,252
2022/4/21,80,14,24,347,94,54,22,409,103,8,85,153,60,150,192
2022/4/22,76,6,14,123,71,88,120,704,428,0,164,208,44,76,435
2022/4/23,73,1,26,91,39,42,32,541,82,0,69,108,26,40,96
2022/4/24,132,0,27,228,43,75,166,874,106,0,76,143,8,142,317
2022/4/25,58,3,36,209,47,65,108,292,138,0,97,61,44,131,156
2022/4/26,89,2,14,173,104,47,29,206,37,2,64,71,27,145,301
2022/4/27,13,0,26,212,24,60,52,534,68,10,19,51,4,32,135
2022/4/28,132,3,3,527,96,75,252,1456,469,8,263,70,137,349,1370
2022/4/29,22,1,0,214,55,27,24,131,22,1,58,144,46,124,250
2022/4/30,41,2,1,136,27,22,29,37,47,0,40,53,21,110,110
2022/5/1,14,1,1,71,12,35,12,132,69,2,33,29,24,70,128
2022/5/2,4,0,0,38,1,34,29,38,18,0,4,28,10,20,17
2022/5/3,4,0,0,26,8,27,34,49,11,0,6,15,2,17,27
2022/5/4,4,0,1,13,3,24,55,50,16,1,5,25,4,20,21
2022/5/5,9,0,3,9,1,47,38,28,15,1,1,9,0,30,35
2022/5/6,3,2,1,19,5,30,5,33,17,3,7,28,3,16,60
2022/5/7,11,0,0,10,5,7,22,28,24,0,3,13,3,19,37
2022/5/8,27,4,3,22,5,18,13,34,54,2,7,9,1,38,60
2022/5/9,17,1,3,21,7,28,7,20,31,0,1,13,2,22,36
2022/5/10,20,0,0,23,5,32,6,16,48,0,2,7,11,28,19
2022/5/11,18,0,0,9,2,34,4,10,18,0,1,3,3,12,19
2022/5/12,42,0,3,5,2,34,7,17,24,0,0,15,1,35,23
2022/5/13,26,0,0,23,4,18,3,15,17,0,0,12,9,34,24
2022/5/14,52,2,0,2,2,18,0,13,3,0,2,6,2,27,18
2022/5/15,10,0,0,4,2,10,1,3,12,1,0,0,1,10,10
2022/5/16,9,0,0,0,2,17,2,3,2,1,0,9,1,14,10
2022/5/17,9,0,0,4,0,25,7,11,6,0,2,2,0,15,6
