date,hour,Frequency,type,helpLevel
2022/4/6,17,1,total,urgent
2022/4/6,18,1,total,urgent
2022/4/6,19,1,total,urgent
2022/4/6,20,2,total,acute
2022/4/6,20,3,total,urgent
2022/4/6,21,1,total,acute
2022/4/6,21,2,total,urgent
2022/4/6,22,2,total,critical
2022/4/6,22,1,total,acute
2022/4/6,22,4,total,urgent
2022/4/6,23,2,total,critical
2022/4/6,23,4,total,acute
2022/4/6,23,8,total,urgent
2022/4/7,24,1,total,critical
2022/4/7,24,1,total,acute
2022/4/7,24,10,total,urgent
2022/4/7,1,1,total,critical
2022/4/7,1,1,total,urgent
2022/4/7,2,1,total,critical
2022/4/7,2,1,total,acute
2022/4/7,2,2,total,urgent
2022/4/7,3,1,total,acute
2022/4/7,4,1,total,urgent
2022/4/7,5,1,total,urgent
2022/4/7,6,3,total,critical
2022/4/7,6,1,total,acute
2022/4/7,6,2,total,urgent
2022/4/7,7,4,total,acute
2022/4/7,7,1,total,urgent
2022/4/7,8,3,total,critical
2022/4/7,8,5,total,acute
2022/4/7,8,3,total,urgent
2022/4/7,9,2,total,critical
2022/4/7,9,3,total,acute
2022/4/7,9,4,total,urgent
2022/4/7,10,1,total,critical
2022/4/7,10,4,total,acute
2022/4/7,10,4,total,urgent
2022/4/7,11,1,total,critical
2022/4/7,11,3,total,acute
2022/4/7,11,8,total,urgent
2022/4/7,12,3,total,critical
2022/4/7,12,3,total,acute
2022/4/7,12,5,total,urgent
2022/4/7,13,3,total,critical
2022/4/7,13,4,total,acute
2022/4/7,13,7,total,urgent
2022/4/7,14,1,total,critical
2022/4/7,14,4,total,acute
2022/4/7,14,6,total,urgent
2022/4/7,15,1,total,acute
2022/4/7,15,9,total,urgent
2022/4/7,17,1,total,critical
2022/4/7,17,3,total,acute
2022/4/7,17,2,total,urgent
2022/4/7,18,1,total,critical
2022/4/7,18,3,total,acute
2022/4/7,18,4,total,urgent
2022/4/7,19,1,total,critical
2022/4/7,19,3,total,acute
2022/4/7,19,5,total,urgent
2022/4/7,20,5,total,acute
2022/4/7,20,9,total,urgent
2022/4/7,21,9,total,acute
2022/4/7,21,16,total,urgent
2022/4/7,22,1,total,critical
2022/4/7,22,7,total,acute
2022/4/7,22,5,total,urgent
2022/4/7,23,1,total,critical
2022/4/7,23,7,total,acute
2022/4/7,23,9,total,urgent
2022/4/8,24,4,total,critical
2022/4/8,24,10,total,acute
2022/4/8,24,9,total,urgent
2022/4/8,1,2,total,acute
2022/4/8,1,4,total,urgent
2022/4/8,2,1,total,critical
2022/4/8,2,3,total,urgent
2022/4/8,3,2,total,critical
2022/4/8,3,1,total,acute
2022/4/8,3,2,total,urgent
2022/4/8,4,2,total,acute
2022/4/8,5,1,total,acute
2022/4/8,5,1,total,urgent
2022/4/8,6,1,total,critical
2022/4/8,6,2,total,acute
2022/4/8,6,11,total,urgent
2022/4/8,7,9,total,acute
2022/4/8,7,7,total,urgent
2022/4/8,8,2,total,critical
2022/4/8,8,7,total,acute
2022/4/8,8,9,total,urgent
2022/4/8,9,2,total,critical
2022/4/8,9,6,total,acute
2022/4/8,9,10,total,urgent
2022/4/8,10,1,total,critical
2022/4/8,10,7,total,acute
2022/4/8,10,13,total,urgent
2022/4/8,11,2,total,critical
2022/4/8,11,7,total,acute
2022/4/8,11,11,total,urgent
2022/4/8,12,4,total,critical
2022/4/8,12,12,total,acute
2022/4/8,12,9,total,urgent
2022/4/8,13,1,total,critical
2022/4/8,13,8,total,acute
2022/4/8,13,11,total,urgent
2022/4/8,14,3,total,critical
2022/4/8,14,9,total,acute
2022/4/8,14,7,total,urgent
2022/4/8,15,1,total,critical
2022/4/8,15,10,total,acute
2022/4/8,15,8,total,urgent
2022/4/8,16,2,total,critical
2022/4/8,16,14,total,acute
2022/4/8,16,12,total,urgent
2022/4/8,17,3,total,critical
2022/4/8,17,13,total,acute
2022/4/8,17,8,total,urgent
2022/4/8,18,2,total,critical
2022/4/8,18,10,total,acute
2022/4/8,18,11,total,urgent
2022/4/8,19,4,total,critical
2022/4/8,19,20,total,acute
2022/4/8,19,27,total,urgent
2022/4/8,20,8,total,critical
2022/4/8,20,21,total,acute
2022/4/8,20,9,total,urgent
2022/4/8,21,8,total,critical
2022/4/8,21,22,total,acute
2022/4/8,21,14,total,urgent
2022/4/8,22,7,total,critical
2022/4/8,22,18,total,acute
2022/4/8,22,16,total,urgent
2022/4/8,23,7,total,critical
2022/4/8,23,15,total,acute
2022/4/8,23,11,total,urgent
2022/4/9,24,11,total,acute
2022/4/9,24,6,total,urgent
2022/4/9,1,1,total,critical
2022/4/9,1,7,total,acute
2022/4/9,1,8,total,urgent
2022/4/9,2,1,total,critical
2022/4/9,2,2,total,acute
2022/4/9,2,2,total,urgent
2022/4/9,3,1,total,critical
2022/4/9,4,1,total,critical
2022/4/9,4,1,total,acute
2022/4/9,4,1,total,urgent
2022/4/9,5,1,total,acute
2022/4/9,6,4,total,acute
2022/4/9,6,4,total,urgent
2022/4/9,7,2,total,critical
2022/4/9,7,5,total,acute
2022/4/9,7,6,total,urgent
2022/4/9,8,5,total,critical
2022/4/9,8,4,total,acute
2022/4/9,8,4,total,urgent
2022/4/9,9,2,total,critical
